RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417515,858,job418_scenario0_817,notAssignedYet,817,notAssignedYet,long_waiting_time,
1644417516,877,job428_scenario0_836,notAssignedYet,836,notAssignedYet,long_waiting_time,
1644417516,884,job432_scenario0_843,notAssignedYet,843,notAssignedYet,long_waiting_time,
1644417516,902,job439_scenario0_861,notAssignedYet,861,notAssignedYet,long_waiting_time,
1644417517,912,job443_scenario0_871,notAssignedYet,871,notAssignedYet,long_waiting_time,
1644417518,942,job457_scenario0_901,notAssignedYet,901,notAssignedYet,long_waiting_time,
1644417518,948,job459_scenario0_907,notAssignedYet,907,notAssignedYet,long_waiting_time,
1644417518,949,job460_scenario1_908,notAssignedYet,908,notAssignedYet,long_waiting_time,
1644417518,953,job463_scenario0_912,notAssignedYet,912,notAssignedYet,long_waiting_time,
1644417518,955,job465_scenario0_914,notAssignedYet,914,notAssignedYet,long_waiting_time,
1644417518,957,job466_scenario0_916,notAssignedYet,916,notAssignedYet,long_waiting_time,
1644417519,960,job468_scenario0_919,notAssignedYet,919,notAssignedYet,long_waiting_time,
1644417519,973,job473_scenario0_932,notAssignedYet,932,notAssignedYet,long_waiting_time,
1644417519,974,job474_scenario0_933,notAssignedYet,933,notAssignedYet,long_waiting_time,
1644417520,988,job481_scenario0_947,notAssignedYet,947,notAssignedYet,long_waiting_time,
1644417520,990,job482_scenario0_949,notAssignedYet,949,notAssignedYet,long_waiting_time,
1644417521,1001,job489_scenario0_960,notAssignedYet,960,notAssignedYet,long_waiting_time,
1644417521,1008,job490_scenario0_967,notAssignedYet,967,notAssignedYet,long_waiting_time,
1644417526,1050,job506_scenario0_1009,notAssignedYet,1009,notAssignedYet,long_waiting_time,
1644417527,1064,job511_scenario0_1023,notAssignedYet,1023,notAssignedYet,long_waiting_time,
1644417528,1074,job517_scenario0_1033,notAssignedYet,1033,notAssignedYet,long_waiting_time,
1644417528,1075,job518_scenario0_1034,notAssignedYet,1034,notAssignedYet,long_waiting_time,
1644417528,1076,job519_scenario0_1035,notAssignedYet,1035,notAssignedYet,long_waiting_time,
1644417531,1097,job526_scenario0_1056,notAssignedYet,1056,notAssignedYet,long_waiting_time,
1644417532,1100,job528_scenario0_1059,notAssignedYet,1059,notAssignedYet,long_waiting_time,
1644417532,1102,job529_scenario0_1061,notAssignedYet,1061,notAssignedYet,long_waiting_time,
1644417534,1115,job532_scenario0_1074,notAssignedYet,1074,notAssignedYet,long_waiting_time,
1644417536,1123,job536_scenario0_1082,notAssignedYet,1082,notAssignedYet,long_waiting_time,
1644417539,1139,job544_scenario0_1098,notAssignedYet,1098,notAssignedYet,long_waiting_time,
1644417539,1140,job545_scenario0_1099,notAssignedYet,1099,notAssignedYet,long_waiting_time,
1644417539,1141,job546_scenario0_1100,notAssignedYet,1100,notAssignedYet,long_waiting_time,
1644417540,1145,job548_scenario0_1104,notAssignedYet,1104,notAssignedYet,long_waiting_time,
1644417543,1163,job554_scenario0_1122,notAssignedYet,1122,notAssignedYet,long_waiting_time,
1644417549,1195,job564_scenario0_1154,notAssignedYet,1154,notAssignedYet,long_waiting_time,
1644417550,1200,job567_scenario0_1159,notAssignedYet,1159,notAssignedYet,long_waiting_time,
1644417552,1213,job571_scenario0_1172,notAssignedYet,1172,notAssignedYet,long_waiting_time,
1644417557,1245,job586_scenario0_1204,notAssignedYet,1204,notAssignedYet,long_waiting_time,
1644417560,1260,job591_scenario1_1219,notAssignedYet,1219,notAssignedYet,long_waiting_time,
1644417560,1262,job592_scenario0_1221,notAssignedYet,1221,notAssignedYet,long_waiting_time,
1644417561,1268,job595_scenario0_1227,notAssignedYet,1227,notAssignedYet,long_waiting_time,
1644417572,1332,job618_scenario0_1291,notAssignedYet,1291,notAssignedYet,long_waiting_time,
1644417574,1348,job624_scenario1_1307,notAssignedYet,1307,notAssignedYet,long_waiting_time,
