participantId,,park_scenario_a_time,park_scenario_a_time_start,park_scenario_a_time_end,park_scenario_a_quality,park_scenario_a_type,park_scenario_a_order,turn_left_scenario_a_time,turn_left_scenario_a_time_start,turn_left_scenario_a_time_end,turn_left_scenario_a_quality,turn_left_scenario_a_type,turn_left_scenario_a_order,slow_vehicle_scenario_a_time,slow_vehicle_scenario_a_time_start,slow_vehicle_scenario_a_time_end,slow_vehicle_scenario_a_quality,slow_vehicle_scenario_a_type,slow_vehicle_scenario_a_order,foreign_object_scenario_a_time,foreign_object_scenario_a_time_start,foreign_object_scenario_a_time_end,foreign_object_scenario_a_quality,foreign_object_scenario_a_type,foreign_object_scenario_a_order,extreme_weather_scenario_a_time,extreme_weather_scenario_a_time_start,extreme_weather_scenario_a_time_end,extreme_weather_scenario_a_quality,extreme_weather_scenario_a_type,extreme_weather_scenario_a_order,park_scenario_a_time_participant,park_scenario_a_time_participant_start,park_scenario_a_time_participant_end,turn_left_scenario_a_time_participant,turn_left_scenario_a_time_participant_start,turn_left_scenario_a_time_participant_end,slow_vehicle_scenario_a_time_participant,slow_vehicle_scenario_a_time_participant_start,slow_vehicle_scenario_a_time_participant_end,foreign_object_scenario_a_time_participant,foreign_object_scenario_a_time_participant_start,foreign_object_scenario_a_time_participant_end,extreme_weather_scenario_a_time_participant,extreme_weather_scenario_a_time_participant_start,extreme_weather_scenario_a_time_participant_end
B41,,88,1610531049,1610531137,5,easy,descending,89,1610530954,1610531043,5,easy,descending,83,1610530864,1610530947,5,easy,descending,71,1610530656,1610530727,4,easy,descending,62,1610530549,1610530611,3,easy,descending,55,1610531083,1610531138,52,1610530991,1610531043,23,1610530924,1610530947,39,1610530689,1610530728,29,1610530584,1610530613
B42,,71,1610532611,1610532682,5,easy,descending,62,1610532543,1610532605,5,easy,descending,74,1610532463,1610532537,3,easy,descending,54,1610532402,1610532456,5,easy,descending,61,1610532337,1610532398,5,easy,descending,38,1610532645,1610532683,26,1610532579,1610532605,14,1610532523,1610532537,19,1610532439,1610532458,25,1610532373,1610532398
B43,,112,1610607181,1610607293,5,easy,descending,73,1610607086,1610607159,5,easy,descending,92,1610606985,1610607077,5,easy,descending,68,1610606910,1610606978,5,easy,descending,61,1610606798,1610606859,5,easy,descending,80,1610607214,1610607294,39,1610607123,1610607162,36,1610607045,1610607081,35,1610606944,1610606979,24,1610606834,1610606858
B44,,106,1610609871,1610609977,5,easy,descending,71,1610609792,1610609863,5,easy,descending,89,1610609693,1610609782,3,easy,descending,103,1610609586,1610609689,5,easy,descending,60,1610609475,1610609535,5,easy,descending,73,1610609905,1610609978,33,1610609833,1610609866,26,1610609756,1610609782,38,1610609651,1610609689,22,1610609514,1610609536
B45,,112,1610614217,1610614329,5,easy,descending,0,1610614111,0,,,,90,1610614015,1610614105,5,easy,descending,80,1610613931,1610614011,5,easy,descending,63,1610613864,1610613927,5,easy,descending,78,1610614250,1610614328,54,1610614153,1610614207,27,1610614079,1610614106,41,1610613966,1610614007,28,1610613899,1610613927
B46,,145,1610616346,1610616491,5,easy,descending,80,1610616255,1610616335,5,easy,descending,81,1610616159,1610616240,4,easy,descending,76,1610616060,1610616136,5,easy,descending,95,1610615793,1610615888,5,easy,descending,59,1610616432,1610616491,37,1610616306,1610616343,20,1610616227,1610616247,25,1610616125,1610616150,23,1610615864,1610615887
B49,,79,1610695351,1610695430,5,easy,descending,65,1610695278,1610695343,4,easy,descending,0,1610695174,0,,,,58,1610695106,1610695164,2,easy,descending,65,1610694873,1610694938,5,easy,descending,48,1610695383,1610695431,32,1610695314,1610695346,24,1610695234,1610695258,29,1610695140,1610695169,30,1610694911,1610694941
B5,,135,1609915642,1609915777,4,easy,ascending,68,1609915794,1609915862,5,easy,ascending,160,1609916000,1609916160,2,easy,ascending,73,1609916361,1609916434,4,easy,ascending,133,1609916446,1609916579,5,easy,ascending,104,1609915675,1609915779,37,1609915826,1609915863,59,1609916103,1609916162,35,1609916400,1609916435,39,1609916535,1609916574
B51,,135,1610866690,1610866825,5,hard,descending,106,1610866568,1610866674,4,hard,descending,139,1610866421,1610866560,5,hard,descending,77,1610866233,1610866310,3,hard,descending,65,1610866000,1610866065,4,hard,descending,61,1610866765,1610866826,61,1610866612,1610866673,69,1610866480,1610866549,8,1610866297,1610866305,21,1610866039,1610866060
B53,,100,1610871678,1610871778,5,hard,descending,123,1610871550,1610871673,2,hard,descending,77,1610871467,1610871544,5,hard,descending,67,1610871390,1610871457,5,hard,descending,64,1610871286,1610871350,5,hard,descending,69,1610871710,1610871779,89,1610871586,1610871675,17,1610871527,1610871544,-1610871425,1610871425,0,23,1610871322,1610871345
B54,,101,1610873259,1610873360,5,hard,descending,69,1610873181,1610873250,5,hard,descending,89,1610873016,1610873105,3,hard,descending,69,1610872940,1610873009,3,hard,descending,55,1610872879,1610872934,5,hard,descending,69,1610873291,1610873360,28,1610873217,1610873245,27,1610873075,1610873102,37,1610872973,1610873010,20,1610872914,1610872934
B57,,121,1610954895,1610955016,5,hard,ascending,97,1610955030,1610955127,5,hard,ascending,99,1610955129,1610955228,3,hard,ascending,72,1610955236,1610955308,5,hard,ascending,99,1610955314,1610955413,5,hard,ascending,95,1610954931,1610955026,55,1610955067,1610955122,35,1610955194,1610955229,33,1610955276,1610955309,36,1610955380,1610955416
B6,,120,1609918563,1609918683,5,easy,ascending,192,1609918693,1609918885,3,easy,ascending,72,1609918898,1609918970,5,easy,ascending,63,1609918978,1609919041,5,easy,ascending,107,1609919051,1609919158,5,easy,ascending,83,1609918603,1609918686,124,1609918765,1609918889,23,1609918948,1609918971,31,1609919013,1609919044,36,1609919126,1609919162
B61,,111,1611041900,1611042011,5,hard,ascending,73,1611042020,1611042093,4,hard,ascending,190,1611042185,1611042375,2,hard,ascending,58,1611042683,1611042741,4,hard,ascending,94,1611042756,1611042850,5,hard,ascending,-1611042016,1611042016,0,61,1611042034,1611042095,-1611042378,1611042378,0,-1611042746,1611042746,0,23,1611042827,1611042850
B63,,126,1611219138,1611219264,5,hard,ascending,89,1611219274,1611219363,5,hard,ascending,98,1611219370,1611219468,2,hard,ascending,74,1611219476,1611219550,5,hard,ascending,64,1611219560,1611219624,5,hard,ascending,93,1611219176,1611219269,58,1611219307,1611219365,38,1611219433,1611219471,10,1611219542,1611219552,32,1611219595,1611219627
B7,,485,1609922285,1609922770,5,easy,ascending,52,1609922837,1609922889,3,easy,ascending,61,1609922971,1609923032,3,easy,ascending,61,1609923042,1609923103,3,easy,ascending,70,1609923440,1609923510,5,easy,ascending,-1609922222,1609922222,0,21,1609922870,1609922891,16,1609923019,1609923035,24,1609923076,1609923100,33,1609923482,1609923515
B8,,157,1609924511,1609924668,4,easy,ascending,71,1609924675,1609924746,4,easy,ascending,104,1609924829,1609924933,4,easy,ascending,55,1609924940,1609924995,5,easy,ascending,123,1609925020,1609925143,5,easy,ascending,128,1609924542,1609924670,37,1609924711,1609924748,26,1609924904,1609924930,23,1609924973,1609924996,20,1609925124,1609925144
B9,,127,1609927365,1609927492,5,easy,ascending,85,1609927500,1609927585,4,easy,ascending,69,1609927596,1609927665,4,easy,ascending,68,1609927672,1609927740,5,easy,ascending,84,1609927749,1609927833,3,easy,ascending,97,1609927396,1609927493,31,1609927555,1609927586,21,1609927644,1609927665,37,1609927705,1609927742,33,1609927801,1609927834
cn01,,120,1610541084,1610541204,4,easy,descending,71,1610541001,1610541072,2,easy,descending,91,1610540892,1610540983,4,easy,descending,66,1610540811,1610540877,5,easy,descending,73,1610540633,1610540706,4,easy,descending,91,1610541116,1610541207,40,1610541037,1610541077,34,1610540961,1610540995,33,1610540848,1610540881,47,1610540669,1610540716
cn02,,67,1610545690,1610545757,4,easy,descending,93,1610544846,1610544939,3,easy,descending,77,1610544759,1610544836,2,easy,descending,79,1610544453,1610544532,5,easy,descending,67,1610544304,1610544371,5,easy,descending,39,1610545722,1610545761,58,1610544884,1610544942,17,1610544822,1610544839,46,1610544488,1610544534,31,1610544343,1610544374
cn03,,320,1610548034,1610548354,2,easy,descending,115,1610547910,1610548025,4,easy,descending,90,1610547812,1610547902,2,easy,descending,75,1610547729,1610547804,4,easy,descending,88,1610547567,1610547655,4,easy,descending,288,1610548069,1610548357,85,1610547945,1610548030,34,1610547872,1610547906,45,1610547763,1610547808,56,1610547603,1610547659
cn04,,114,1610625290,1610625404,3,easy,descending,79,1610625204,1610625283,5,easy,descending,96,1610625103,1610625199,2,easy,descending,55,1610625017,1610625072,5,easy,descending,57,1610624951,1610625008,5,easy,descending,79,1610625326,1610625405,47,1610625239,1610625286,38,1610625163,1610625201,41,1610625058,1610625099,24,1610624989,1610625013
cn05,,87,1610629542,1610629629,5,easy,descending,118,1610629418,1610629536,4,easy,descending,77,1610629334,1610629411,4,easy,descending,66,1610629257,1610629323,5,easy,descending,67,1610629179,1610629246,5,easy,descending,70,1610629575,1610629645,84,1610629456,1610629540,21,1610629394,1610629415,41,1610629290,1610629331,39,1610629214,1610629253
cn06,,199,1610633082,1610633281,2,easy,descending,106,1610632967,1610633073,4,easy,descending,98,1610632860,1610632958,5,easy,descending,71,1610632780,1610632851,5,easy,descending,89,1610632529,1610632618,4,easy,descending,27,1610633266,1610633293,73,1610633006,1610633079,41,1610632921,1610632962,39,1610632816,1610632855,55,1610632570,1610632625
