RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644424889,633,job311_scenario0_592,notAssignedYet,592,notAssignedYet,long_waiting_time,
1644424889,635,job313_scenario2_594,notAssignedYet,594,notAssignedYet,long_waiting_time,
1644424889,636,job314_scenario0_595,notAssignedYet,595,notAssignedYet,long_waiting_time,
1644424889,637,job315_scenario1_596,notAssignedYet,596,notAssignedYet,long_waiting_time,
1644424890,656,job322_scenario1_615,notAssignedYet,615,notAssignedYet,long_waiting_time,
1644424890,659,job324_scenario2_618,notAssignedYet,618,notAssignedYet,long_waiting_time,
1644424890,660,job325_scenario0_619,notAssignedYet,619,notAssignedYet,long_waiting_time,
1644424891,669,job330_scenario0_628,notAssignedYet,628,notAssignedYet,long_waiting_time,
1644424891,672,job333_scenario0_631,notAssignedYet,631,notAssignedYet,long_waiting_time,
1644424891,676,job334_scenario2_635,notAssignedYet,635,notAssignedYet,long_waiting_time,
1644424891,680,job335_scenario1_639,notAssignedYet,639,notAssignedYet,long_waiting_time,
1644424891,686,job338_scenario0_645,notAssignedYet,645,notAssignedYet,long_waiting_time,
1644424892,689,job340_scenario1_648,notAssignedYet,648,notAssignedYet,long_waiting_time,
1644424892,703,job347_scenario1_662,notAssignedYet,662,notAssignedYet,long_waiting_time,
1644424893,711,job353_scenario0_670,notAssignedYet,670,notAssignedYet,long_waiting_time,
1644424893,716,job354_scenario0_675,notAssignedYet,675,notAssignedYet,long_waiting_time,
1644424894,728,job357_scenario1_687,notAssignedYet,687,notAssignedYet,long_waiting_time,
1644424894,739,job365_scenario3_698,notAssignedYet,698,notAssignedYet,long_waiting_time,
1644424894,740,job366_scenario0_699,notAssignedYet,699,notAssignedYet,long_waiting_time,
1644424894,743,job368_scenario0_702,notAssignedYet,702,notAssignedYet,long_waiting_time,
1644424895,748,job370_scenario1_707,notAssignedYet,707,notAssignedYet,long_waiting_time,
1644424895,751,job373_scenario1_710,notAssignedYet,710,notAssignedYet,long_waiting_time,
1644424895,754,job376_scenario2_713,notAssignedYet,713,notAssignedYet,long_waiting_time,
1644424895,756,job377_scenario2_715,notAssignedYet,715,notAssignedYet,long_waiting_time,
1644424896,766,job383_scenario0_725,notAssignedYet,725,notAssignedYet,long_waiting_time,
1644424896,767,job384_scenario1_726,notAssignedYet,726,notAssignedYet,long_waiting_time,
1644424898,798,job396_scenario1_757,notAssignedYet,757,notAssignedYet,long_waiting_time,
1644424900,815,job402_scenario1_774,notAssignedYet,774,notAssignedYet,long_waiting_time,
1644424903,828,job405_scenario1_787,notAssignedYet,787,notAssignedYet,long_waiting_time,
1644424908,863,job417_scenario0_822,notAssignedYet,822,notAssignedYet,long_waiting_time,
1644424910,875,job423_scenario0_834,notAssignedYet,834,notAssignedYet,long_waiting_time,
1644424911,879,job425_scenario0_838,notAssignedYet,838,notAssignedYet,long_waiting_time,
1644424915,895,job435_scenario0_854,notAssignedYet,854,notAssignedYet,long_waiting_time,
1644424915,896,job436_scenario0_855,notAssignedYet,855,notAssignedYet,long_waiting_time,
1644424916,900,job438_scenario1_859,notAssignedYet,859,notAssignedYet,long_waiting_time,
1644424917,905,job440_scenario0_864,notAssignedYet,864,notAssignedYet,long_waiting_time,
1644424918,909,job442_scenario0_868,notAssignedYet,868,notAssignedYet,long_waiting_time,
1644424920,918,job447_scenario2_877,notAssignedYet,877,notAssignedYet,long_waiting_time,
1644424920,919,job448_scenario0_878,notAssignedYet,878,notAssignedYet,long_waiting_time,
1644424921,922,job450_scenario0_881,notAssignedYet,881,notAssignedYet,long_waiting_time,
1644424921,925,job452_scenario0_884,notAssignedYet,884,notAssignedYet,long_waiting_time,
1644424924,940,job459_scenario0_899,notAssignedYet,899,notAssignedYet,long_waiting_time,
1644424925,946,job461_scenario0_905,notAssignedYet,905,notAssignedYet,long_waiting_time,
1644424926,948,job462_scenario0_907,notAssignedYet,907,notAssignedYet,long_waiting_time,
1644424926,949,job463_scenario0_908,notAssignedYet,908,notAssignedYet,long_waiting_time,
1644424929,963,job471_scenario0_922,notAssignedYet,922,notAssignedYet,long_waiting_time,
1644424931,975,job476_scenario1_934,notAssignedYet,934,notAssignedYet,long_waiting_time,
1644424933,983,job481_scenario0_942,notAssignedYet,942,notAssignedYet,long_waiting_time,
1644424934,986,job483_scenario0_945,notAssignedYet,945,notAssignedYet,long_waiting_time,
1644424935,989,job485_scenario0_948,notAssignedYet,948,notAssignedYet,long_waiting_time,
1644424935,994,job487_scenario2_953,notAssignedYet,953,notAssignedYet,long_waiting_time,
1644424936,995,job488_scenario0_954,notAssignedYet,954,notAssignedYet,long_waiting_time,
1644424936,997,job489_scenario0_956,notAssignedYet,956,notAssignedYet,long_waiting_time,
1644424936,999,job491_scenario1_958,notAssignedYet,958,notAssignedYet,long_waiting_time,
1644424939,1010,job494_scenario0_969,notAssignedYet,969,notAssignedYet,long_waiting_time,
1644424939,1014,job497_scenario1_973,notAssignedYet,973,notAssignedYet,long_waiting_time,
1644424940,1015,job498_scenario0_974,notAssignedYet,974,notAssignedYet,long_waiting_time,
1644424942,1024,job502_scenario0_983,notAssignedYet,983,notAssignedYet,long_waiting_time,
1644424946,1044,job511_scenario0_1003,notAssignedYet,1003,notAssignedYet,long_waiting_time,
1644424947,1049,job514_scenario0_1008,notAssignedYet,1008,notAssignedYet,long_waiting_time,
1644424951,1076,job523_scenario0_1035,notAssignedYet,1035,notAssignedYet,long_waiting_time,
1644424952,1080,job525_scenario0_1039,notAssignedYet,1039,notAssignedYet,long_waiting_time,
1644424953,1086,job528_scenario0_1045,notAssignedYet,1045,notAssignedYet,long_waiting_time,
1644424955,1094,job531_scenario0_1053,notAssignedYet,1053,notAssignedYet,long_waiting_time,
1644424955,1095,job532_scenario0_1054,notAssignedYet,1054,notAssignedYet,long_waiting_time,
1644424958,1112,job540_scenario0_1071,notAssignedYet,1071,notAssignedYet,long_waiting_time,
1644424959,1119,job542_scenario0_1078,notAssignedYet,1078,notAssignedYet,long_waiting_time,
1644424960,1123,job543_scenario0_1082,notAssignedYet,1082,notAssignedYet,long_waiting_time,
1644424962,1134,job549_scenario0_1093,notAssignedYet,1093,notAssignedYet,long_waiting_time,
1644424962,1136,job550_scenario0_1095,notAssignedYet,1095,notAssignedYet,long_waiting_time,
1644424963,1144,job556_scenario0_1103,notAssignedYet,1103,notAssignedYet,long_waiting_time,
1644424965,1153,job559_scenario0_1112,notAssignedYet,1112,notAssignedYet,long_waiting_time,
1644424966,1155,job560_scenario0_1114,notAssignedYet,1114,notAssignedYet,long_waiting_time,
1644424966,1158,job561_scenario0_1117,notAssignedYet,1117,notAssignedYet,long_waiting_time,
1644424974,1201,job575_scenario1_1160,notAssignedYet,1160,notAssignedYet,long_waiting_time,
1644424974,1203,job577_scenario0_1162,notAssignedYet,1162,notAssignedYet,long_waiting_time,
1644424981,1241,job590_scenario0_1200,notAssignedYet,1200,notAssignedYet,long_waiting_time,
1644424982,1248,job593_scenario0_1207,notAssignedYet,1207,notAssignedYet,long_waiting_time,
1644424990,1301,job612_scenario0_1260,notAssignedYet,1260,notAssignedYet,long_waiting_time,
1644424992,1310,job616_scenario0_1269,notAssignedYet,1269,notAssignedYet,long_waiting_time,
1644424992,1311,job617_scenario0_1270,notAssignedYet,1270,notAssignedYet,long_waiting_time,
1644424992,1314,job618_scenario0_1273,notAssignedYet,1273,notAssignedYet,long_waiting_time,
1644424994,1321,job620_scenario0_1280,notAssignedYet,1280,notAssignedYet,long_waiting_time,
1644424995,1329,job623_scenario0_1288,notAssignedYet,1288,notAssignedYet,long_waiting_time,
1644424997,1342,job627_scenario0_1301,notAssignedYet,1301,notAssignedYet,long_waiting_time,
1644424998,1349,job631_scenario0_1308,notAssignedYet,1308,notAssignedYet,long_waiting_time,
1644424998,1352,job632_scenario0_1311,notAssignedYet,1311,notAssignedYet,long_waiting_time,
1644424999,1353,job633_scenario0_1312,notAssignedYet,1312,notAssignedYet,long_waiting_time,
1644424999,1357,job635_scenario2_1316,notAssignedYet,1316,notAssignedYet,long_waiting_time,
1644425000,1360,job636_scenario0_1319,notAssignedYet,1319,notAssignedYet,long_waiting_time,
1644425002,1378,job643_scenario0_1337,notAssignedYet,1337,notAssignedYet,long_waiting_time,
1644425003,1381,job645_scenario0_1340,notAssignedYet,1340,notAssignedYet,long_waiting_time,
1644425004,1386,job648_scenario0_1345,notAssignedYet,1345,notAssignedYet,long_waiting_time,
1644425007,1404,job653_scenario0_1363,notAssignedYet,1363,notAssignedYet,long_waiting_time,
1644425009,1419,job656_scenario0_1378,notAssignedYet,1378,notAssignedYet,long_waiting_time,
1644425011,1430,job660_scenario0_1389,notAssignedYet,1389,notAssignedYet,long_waiting_time,
1644425011,1432,job662_scenario1_1391,notAssignedYet,1391,notAssignedYet,long_waiting_time,
1644425012,1434,job664_scenario0_1393,notAssignedYet,1393,notAssignedYet,long_waiting_time,
1644425012,1436,job665_scenario1_1395,notAssignedYet,1395,notAssignedYet,long_waiting_time,
1644425013,1441,job670_scenario0_1400,notAssignedYet,1400,notAssignedYet,long_waiting_time,
1644425013,1442,job671_scenario0_1401,notAssignedYet,1401,notAssignedYet,long_waiting_time,
1644425015,1458,job678_scenario0_1417,notAssignedYet,1417,notAssignedYet,long_waiting_time,
1644425016,1463,job680_scenario0_1422,notAssignedYet,1422,notAssignedYet,long_waiting_time,
1644425016,1465,job682_scenario0_1424,notAssignedYet,1424,notAssignedYet,long_waiting_time,
1644425019,1483,job686_scenario0_1442,notAssignedYet,1442,notAssignedYet,long_waiting_time,
1644425023,1511,job697_scenario1_1470,notAssignedYet,1470,notAssignedYet,long_waiting_time,
